Id,Name,Platform_x,Publisher_x,Genre,ESRB_Rating,Platform_y,Publisher_y,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
35,Grand Theft Auto: San Andreas,PS2,Rockstar Games,Misc,,OSX,Rockstar Games,Unknown,,,,,,,,,2011.0
35,Grand Theft Auto: San Andreas,PS2,Rockstar Games,Misc,,WinP,Rockstar Games,Unknown,,,,,,,,,2014.0
35,Grand Theft Auto: San Andreas,PS2,Rockstar Games,Misc,,And,Rockstar Games,Unknown,,,,,,,,,2014.0
36,Super Mario Bros. 3,NES,Nintendo,Platform,E,NES,Nintendo,Nintendo R&D2,,,17.28,,,,,,1990.0
36,Super Mario Bros. 3,NES,Nintendo,Platform,E,VC,Nintendo,Nintendo R&D2,9.5,,,,,,,,2007.0
36,Super Mario Bros. 3,NES,Nintendo,Misc,,3DS,Nintendo,Unknown,,,,,,,,,2014.0
36,Super Mario Bros. 3,NES,Nintendo,Misc,,WiiU,Nintendo,Unknown,,,,,,,,,2014.0
37,Garry's Mod,PC,Valve,Misc,,PC,Unknown,Team Garry,,,18.58,,,,,,2004.0
38,Super Mario Odyssey,NS,Nintendo,Platform,E10,NS,Nintendo,Nintendo EPD,9.9,,13.76,,,,,,2017.0
40,The Legend of Zelda: Breath of the Wild,NS,Nintendo,Action-Adventure,E10,NS,Nintendo,Nintendo EPD,9.9,10.0,11.68,,,,,,2017.0
40,The Legend of Zelda: Breath of the Wild,NS,Nintendo,Action-Adventure,E10,WiiU,Nintendo,Nintendo EPD,10.0,10.0,1.61,,,,,,2017.0
41,Uncharted 4: A Thief's End,PS4,Sony Interactive Entertainment,Action,T,PS4,Sony Interactive Entertainment,Naughty Dog,9.2,,8.7,,,,,,2016.0
44,Grand Theft Auto: Vice City,PS2,Rockstar Games,Action,M,PS2,Rockstar Games,Rockstar North,9.6,,,16.15,8.41,5.49,0.47,1.78,2002.0
44,Grand Theft Auto: Vice City,PS2,Rockstar Games,Action,M,PC,Rockstar Games,Rockstar North,9.0,,,0.04,,0.03,,0.0,2003.0
48,Call of Duty: Black Ops 3,PS4,Activision,Shooter,M,PS4,Activision,Treyarch,,,,15.09,6.18,6.05,0.41,2.44,2015.0
48,Call of Duty: Black Ops 3,PS4,Activision,Shooter,M,XOne,Activision,Treyarch,,,,7.37,4.63,2.04,0.02,0.68,2015.0
48,Call of Duty: Black Ops 3,PS4,Activision,Shooter,M,X360,Activision,Treyarch,,,,2.01,1.36,0.47,,0.19,2015.0
48,Call of Duty: Black Ops 3,PS4,Activision,Shooter,M,PS3,Activision,Treyarch,,,,1.95,0.65,0.92,0.07,0.3,2015.0
48,Call of Duty: Black Ops 3,PS4,Activision,Shooter,M,PC,Activision,Treyarch,,,,0.3,,0.28,,0.02,2015.0
152,Call of Duty: Black Ops 3,XOne,Activision,Shooter,M,PS4,Activision,Treyarch,,,,15.09,6.18,6.05,0.41,2.44,2015.0
152,Call of Duty: Black Ops 3,XOne,Activision,Shooter,M,XOne,Activision,Treyarch,,,,7.37,4.63,2.04,0.02,0.68,2015.0
152,Call of Duty: Black Ops 3,XOne,Activision,Shooter,M,X360,Activision,Treyarch,,,,2.01,1.36,0.47,,0.19,2015.0
152,Call of Duty: Black Ops 3,XOne,Activision,Shooter,M,PS3,Activision,Treyarch,,,,1.95,0.65,0.92,0.07,0.3,2015.0
152,Call of Duty: Black Ops 3,XOne,Activision,Shooter,M,PC,Activision,Treyarch,,,,0.3,,0.28,,0.02,2015.0
49,Counter-Strike: Source,PC,VU Games,Shooter,M,PC,VU Games,Valve Software,9.3,,15.0,,,,,,2004.0
49,Counter-Strike: Source,PC,VU Games,Misc,,OSX,Valve Corporation,Unknown,,,,,,,,,2010.0
50,Sonic the Hedgehog,GEN,Sega,Platform,,GEN,Sega,Sonic Team,,,15.0,,,,,,1991.0
50,Sonic the Hedgehog,GEN,Sega,Platform,,GG,Sega,Ancient,,,,,,,,,1991.0
50,Sonic the Hedgehog,GEN,Sega,Platform,E,VC,Sega,Sonic Team,7.7,,,,,,,,2006.0
50,Sonic the Hedgehog,GEN,Sega,Platform,E,XBL,Sega,Backbone Entertainment,,,,,,,,,2007.0
50,Sonic the Hedgehog,GEN,Sega,Platform,,MS,Sega,Sega,,,,,,,,,1991.0
50,Sonic the Hedgehog,GEN,Sega,Platform,E10,PSN,Sega,Sonic Team,,,,,,,,,2011.0
50,Sonic the Hedgehog,GEN,Sega,Platform,,PC,Sega,Sega,,,,,,,,,2010.0
51,Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment,Racing,E,PS2,Sony Computer Entertainment,Polyphony Digital,9.3,,14.89,,,,,,2001.0
52,Brain Age 2: More Training in Minutes a Day,DS,Nintendo,Misc,E,DS,Nintendo,Nintendo SDD,8.0,,14.88,,,,,,2007.0
53,Call of Duty: Modern Warfare 3,X360,Activision,Shooter,M,X360,Activision,Infinity Ward,8.7,,,14.82,9.07,4.29,0.13,1.33,2011.0
53,Call of Duty: Modern Warfare 3,X360,Activision,Shooter,M,PS3,Activision,Infinity Ward,8.8,,,13.35,5.54,5.78,0.49,1.54,2011.0
53,Call of Duty: Modern Warfare 3,X360,Activision,Shooter,M,PC,Activision,Infinity Ward,8.0,,,1.71,0.41,0.99,,0.31,2011.0
